city,state,ward_id,population,households,organic_waste_tpd,animal_waste_tpd,total_waste_tpd,estimated_biogas_m3_day,estimated_methane_pct,electricity_potential_kwh_day,latitude,longitude,collection_efficiency_pct,digester_capacity_tpd,plant_utilization_pct,recommended_ai_cluster,co2_reduction_tonnes_year
Solapur,Maharashtra,39,1732,1218,22.04,9.17,5.84,851.82,54.92,2334.11,17.630636,75.937668,86.72,31.08,58.74,3,136.88
Solapur,Maharashtra,29,11848,1617,3.96,16.83,9.14,1047.28,51.73,1626.79,17.637081,75.87163,91.9,5.05,40.39,7,1982.35
Solapur,Maharashtra,15,10861,2498,24.01,8.18,5.26,1196.43,55.83,1078.12,17.749413,75.930719,81.65,45.53,74.68,2,1298.65
Solapur,Maharashtra,43,11850,2731,3.07,17.66,21.47,558.08,50.56,746.97,17.615507,75.92574,64.43,30.66,56.13,6,1395.19
Solapur,Maharashtra,8,7871,1961,18.13,9.46,6.93,204.49,63.76,2458.02,17.627099,75.885694,90.78,21.47,68.58,6,1651.63
Solapur,Maharashtra,21,5706,607,4.35,2.5,7.22,114.07,60.1,2460.1,17.619504,75.948952,62.37,42.31,87.84,4,1103.69
Solapur,Maharashtra,39,11185,1659,22.99,13.88,37.82,894.1,64.86,2323.7,17.649148,75.876257,63.52,22.99,54.97,7,383.6
Solapur,Maharashtra,19,9443,2269,12.95,12.38,35.29,1058.9,63.24,1996.32,17.631526,75.87548,65.84,6.53,89.51,4,354.43
Solapur,Maharashtra,23,8391,1191,5.59,14.03,19.73,327.2,57.09,915.58,17.674653,75.927226,67.17,41.95,71.64,7,1839.95
Solapur,Maharashtra,11,8238,674,10.17,17.15,39.47,257.46,57.8,2069.95,17.671403,75.893466,75.58,29.56,52.1,6,623.96
Solapur,Maharashtra,11,3972,2333,6.21,14.09,3.01,149.67,52.86,1110.66,17.735226,75.883079,83.54,20.22,61.84,2,184.07
Solapur,Maharashtra,24,4239,1664,6.34,11.2,25.72,1001.43,56.93,917.92,17.605211,75.867866,92.05,16.29,77.02,7,2353.52
Solapur,Maharashtra,36,6901,428,23.83,15.5,25.81,428.75,63.55,1900.43,17.647982,75.926533,58.54,31.72,62.32,4,2355.29
Solapur,Maharashtra,40,3261,1314,12.52,12.28,19.93,529.9,50.76,337.19,17.689499,75.928632,93.17,14.36,43.43,1,982.16
Solapur,Maharashtra,24,11667,2099,20.25,7.64,17.69,643.08,62.95,264.12,17.69072,75.906656,91.85,19.57,48.43,6,178.19
Solapur,Maharashtra,3,2376,1681,16.89,16.0,19.85,1020.19,55.11,1202.69,17.672019,75.945731,57.16,33.64,79.56,3,1778.16
Solapur,Maharashtra,22,5312,816,17.72,4.38,18.35,808.93,63.49,1197.25,17.72235,75.881816,69.41,44.67,72.42,3,2014.71
Solapur,Maharashtra,2,11004,1818,5.46,13.01,30.03,768.87,64.11,2254.76,17.609408,75.871962,87.53,28.98,68.49,2,405.03
Solapur,Maharashtra,24,2960,385,7.77,15.93,8.01,276.75,60.06,446.46,17.722323,75.917747,79.46,39.16,48.38,1,428.85
Solapur,Maharashtra,44,3233,1498,20.2,13.3,10.31,654.77,59.97,439.72,17.674213,75.925841,86.16,39.34,81.89,4,1994.67
Solapur,Maharashtra,30,3105,2658,24.34,12.7,9.68,881.23,56.79,496.51,17.620064,75.872491,83.76,34.9,88.04,7,2221.95
Solapur,Maharashtra,38,7122,1442,8.41,13.67,12.71,1170.05,62.53,219.88,17.732855,75.857661,74.87,16.06,42.04,6,1922.92
Solapur,Maharashtra,2,8267,2774,8.61,8.64,22.43,305.58,64.42,318.57,17.697384,75.931052,56.65,44.01,43.9,3,577.7
Solapur,Maharashtra,21,8486,2293,13.14,15.8,7.11,90.69,61.63,1700.69,17.624532,75.94765,78.37,24.63,84.24,3,1058.27
Solapur,Maharashtra,33,5017,2461,24.64,4.06,35.12,164.34,59.33,1164.22,17.605047,75.914467,56.94,6.99,80.78,3,1489.92
Solapur,Maharashtra,12,5235,602,8.55,2.73,14.0,500.95,59.1,1944.47,17.621166,75.877787,79.15,16.01,70.9,3,485.47
Solapur,Maharashtra,22,10852,887,11.66,5.5,9.01,999.01,62.74,2482.6,17.69132,75.949667,87.02,39.45,87.25,5,600.17
Solapur,Maharashtra,44,9934,1286,22.56,9.8,28.0,88.0,58.12,1698.73,17.626894,75.939327,78.4,8.11,72.32,2,764.98
Solapur,Maharashtra,25,4090,2163,2.57,9.43,4.41,591.54,62.06,268.57,17.633864,75.901338,94.88,11.63,50.8,4,1281.69
Solapur,Maharashtra,49,2563,644,3.39,14.86,25.94,448.74,57.63,395.72,17.603771,75.932532,73.23,36.24,76.43,6,1284.64
Solapur,Maharashtra,27,5824,1113,16.09,7.58,28.83,138.78,50.94,2220.36,17.70844,75.931582,84.95,45.17,72.29,6,1976.59
Solapur,Maharashtra,42,10611,2287,22.92,8.98,10.95,584.26,55.76,1389.62,17.721555,75.94348,81.69,33.52,89.29,6,1836.86
Solapur,Maharashtra,28,6842,1610,7.87,0.73,4.55,365.32,56.67,2088.37,17.719527,75.934092,94.66,15.0,50.69,4,2203.32
Solapur,Maharashtra,16,1505,2299,13.07,7.67,16.45,474.11,52.12,2163.04,17.619135,75.914368,83.53,7.4,69.89,2,2019.02
Solapur,Maharashtra,15,8989,1977,12.64,11.84,6.65,870.29,51.54,2330.04,17.735495,75.91093,61.56,32.68,79.01,1,698.84
Solapur,Maharashtra,47,10159,1627,13.14,0.77,7.31,664.14,58.03,2382.1,17.700842,75.896736,93.22,7.13,56.95,7,875.36
Solapur,Maharashtra,51,9695,1392,16.51,5.42,12.41,219.61,51.28,1453.84,17.734629,75.912649,81.71,32.57,58.98,7,1260.96
Solapur,Maharashtra,44,7466,2708,13.07,4.14,13.93,1156.78,54.54,951.4,17.667074,75.929522,57.37,15.15,84.4,2,152.54
Solapur,Maharashtra,3,10337,1309,12.57,1.23,22.61,792.22,61.17,2410.38,17.665543,75.946904,81.3,45.71,60.21,3,2180.9
